theme_key	name	nameable	rationale	n_members	kind	example_node	checks_failed	model	prompt_version	status
041d1bb57fb3ab2a	Junction assembly regulatory proteins	true	Repeats parent 'Tight and adherens junction assembly' and is indistinguishable from sibling 'Cell-cell adhesion and junction organization'; needs a more specific descriptor of its actual member scope.	8	internal	n0314		claude-sonnet-5	name-v2	current
0428cda0bf997e91	Cytotoxic lymphocyte activation control	true	No siblings present, and the name is distinct from both parents, covering activation control rather than cytotoxicity mechanisms or cytokine secretion specifically.	4	leaf	n0101		claude-sonnet-5	name-v2	current
043b4a4e3e688f0c	Neurite outgrowth and collapse signaling	true	Overlapped with parent's general morphogenesis scope and sibling's structural development theme; narrowed to the specific outgrowth-promoting and collapse-inducing signaling pathways that distinguish this theme.	12	internal	n0761		claude-sonnet-5	name-v2	current
04aacfb2f2c85a82	N-linked and O-linked glycosylation	true	Repeated the parent name; distinguished from sibling by covering general glycosylation pathways rather than dystroglycan-specific disorders.	5	leaf	n0207		claude-sonnet-5	name-v2	current
04fd294f011ffc4f	Kinetochore-microtubule attachment	true	Repeated parent name exactly; kinetochore-microtubule attachment distinguishes this theme's mechanism from fidelity checkpoints and structural maintenance siblings.	3	leaf	n1185		claude-sonnet-5	name-v1	superseded
05c3f7b63379184e	DNA repair and cell cycle checkpoints	true	Overlapped with parent's genome maintenance scope and with p53-driven DNA damage response sibling; narrowed to non-p53 DNA repair and checkpoint mechanisms.	164	internal	n0445		claude-sonnet-5	name-v2	current
05da8555ec83478f	Cell-matrix adhesion dynamics	true	No siblings to collide with and name is distinct from parent, which is broader (migration process vs adhesion dynamics).	6	leaf	n0248		claude-sonnet-5	name-v2	current
06be890d8f4764dc	Monoamine catabolism	true	Distinct from parent (metabolism and transport is broader, covering synthesis/transport too) with no siblings to collide with.	6	leaf	n0041		claude-sonnet-5	name-v2	current
06f2c0aa6313c3f3	HPA axis hormone secretion regulation	true	Distinct from parent (which covers hormone secretion generally) and sibling (gonadotropin-specific); this theme specifically addresses HPA axis regulation.	3	leaf	n1106		claude-sonnet-5	name-v1	superseded
070bc9da537a994e	Xenobiotic and drug metabolism	true	All members describe the phase I/II enzymes and transporters that metabolise, conjugate and clear drugs and xenobiotic compounds.	4	leaf	n0084		claude-sonnet-5	name-v2	current
074f19d9cbc9d611	Anteroposterior neural tube patterning	true	Actually the current name 'Neural tube dorsoventral patterning' is distinct from parent 'Anteroposterior neural tube patterning' since dorsoventral differs from anteroposterior; no revision needed.-	5	leaf	n0287		claude-sonnet-5	name-v2	current
088860afe5e41fa4	Ghrelin and leptin appetite signaling	true	Repeated parent's wording closely; sibling 'Somatotropic axis growth regulation' covers growth hormone axis, so this theme should specify the appetite-hormone side (ghrelin/leptin) to distinguish it.	9	leaf	n0473		claude-sonnet-5	name-v2	current
08d0702f2141e354	Nephron and renal tract morphogenesis	true	No siblings to collide with, and name is more specific than either parent by combining nephron and renal tract structures.	7	leaf	n0059		claude-sonnet-5	name-v2	current
08fb2e1ecc3a7aeb	Glycogen metabolism and storage disease	true	No siblings to collide with, and it is more specific than the parent, which covers dietary sugar metabolism broadly.	6	leaf	n0043		claude-sonnet-5	name-v2	current
092cd01f2525fc7c	Post-Golgi trafficking to the plasma membrane and cilium	true	All members concern vesicle-mediated delivery of proteins from the Golgi/post-Golgi compartments to the cell surface or ciliary membrane, broader than the single named child but not extending to generic Golgi or membrane raft biology.	12	internal	n0619	in_range	claude-sonnet-5	name-v2	current
0940cb0656cab40a	Muscle growth and differentiation regulation	true	No siblings to collide with, and the name is distinct from the parent 'Smooth and cardiac muscle remodelling', specifying growth and differentiation regulation.	23	internal	n0566		claude-sonnet-5	name-v2	current
09d2a8479b3ea64d	DNA damage repair from oxidative stress	true	Too broad and overlapped conceptually with parent's oxidative stress focus; narrowed to specific damage repair mechanism distinguishing it from sibling's homeostasis/xenobiotic focus.	11	internal	n0391		claude-sonnet-5	name-v2	current
0a29366f07a1b1ba	Drug-resistant receptor tyrosine kinase mutants	true	No siblings and name is more specific than parent (drug-resistant subset), no collision.	7	internal	n0014		claude-sonnet-5	name-v2	current
0a6a124da4352e75		false	The members split into two unrelated groups—polyamine biosynthesis/transport/regulation, and protein post-translational modifications (hydroxylation, histidine modification, methylation)—with no common biological thread linking them.	9	leaf	n0517		claude-sonnet-5	name-v2	current
0b0adb00fd64a31c	L-amino acid selective transporters	true	Repeats parent 'Neutral amino acid membrane transport' concept without distinguishing itself; revised to specify selectivity distinguishing it from general neutral amino acid transport.	4	leaf	n0100		claude-sonnet-5	name-v2	current
0b4e36059185fd9c	Hemophilia-associated factor VIII/IX defects	true	Distinct from parent (specific to factor VIII/IX deficiencies rather than general coagulation disorders) and from sibling (platelet activation), so no revision needed.	3	leaf	n1024	associated	claude-sonnet-5	name-v1	superseded
0c127488129c1ea2	Gonadotropin signalling in the ovulatory cycle	true	Distinct from parent (which covers meiotic progression broadly) and sibling (reproductive development/gametogenesis); this theme specifically addresses gonadotropin signalling in ovulatory cycling.	5	leaf	n0174		claude-sonnet-5	name-v2	current
0c383b26dea1e853	Small GTPase signalling regulation	true	All members concern GEFs, GAPs, GDIs or effectors that regulate small GTPase activity and downstream localization/signalling outputs.	5	leaf	n0330		claude-sonnet-5	name-v2	current
0c975ea63033a293	Endolysosomal membrane trafficking and autophagy	true	No siblings to collide with, and the name is more specific than the parent, distinguishing endolysosomal/autophagy mechanisms from general vesicular trafficking.	7	leaf	n0127		claude-sonnet-5	name-v2	current
0c9d229d8964ba5a	Mitotic chromosome segregation fidelity	true	Overlapped with parent 'DNA repair and cell cycle checkpoints' and sibling's genome stability scope; narrowed to the mitotic division/segregation focus distinguishing it from checkpoint repair and telomere senescence themes.	154	internal	n0315		claude-sonnet-5	name-v2	current
0cae1d53f0fada9e	Triglyceride and phospholipid storage metabolism	true	Distinct from parent and siblings; no collision with bile acid, cholesterol, dietary lipid, adipocyte, or ketone-focused themes.	14	internal	n0802		claude-sonnet-5	name-v2	current
0da5898b0b64aaff	Mitotic checkpoint surveillance	true	Not directly repeating parent, but 'Mitotic cell division' describes a broader process than checkpoint control; revised to specify mitotic checkpoint mechanisms, distinguishing from G1/S checkpoint control and phase transitions.	12	internal	n0482		claude-sonnet-5	name-v2	current
0dac7dad405fc545	Telomere-linked senescence and genome stability	true	Distinct from parent (broader checkpoint/repair processes) and sibling (division/integrity); focuses specifically on telomere-linked senescence mechanisms.	12	internal	n0718		claude-sonnet-5	name-v2	current
0dc3decf15ce52f0	Sensory perception and receptor biology	true	The union spans photoreceptor biology, general sensory receptor biology, and sour taste perception, all covered by the existing child name 'Sensory perception and receptor biology' which already encompasses photoreceptor biology as a subset.	29	internal	n0555		claude-sonnet-5	name-v2	current
0dd61937d52b096f	Long-chain and very long-chain fatty acid metabolism	true	No siblings to collide with, and the name is more specific than the parent by specifying chain length categories rather than repeating peroxisomal beta-oxidation.	4	leaf	n0083	in_range	claude-sonnet-5	name-v2	current
0e1d6eac7b6d80ea	Forebrain and cerebellar neurodevelopment	true	Name is distinct from parent and sibling; specifies forebrain/cerebellar development outcome versus neural tube patterning process, no collision.	6	leaf	n0191		claude-sonnet-5	name-v2	current
0e4f891bf938a702	Fasting-induced lipolysis and ketogenesis	true	Distinct from parent's storage/transport focus and siblings; narrows to hormonal/nutrient regulation of lipolysis and ketone body production.	10	internal	n0734		claude-sonnet-5	name-v2	current
0e5791ea3833bde1	Central carbon, lipid and cofactor metabolism	true	Name is distinct from parent 'Amino acid catabolism' and siblings focused on amino acid/nitrogen/sulfur metabolism; this theme covers central carbon, lipid, and cofactor metabolism, a clearly different scope.	18	internal	n0640		claude-sonnet-5	name-v2	current
0e9de99f95b8e864	Endoderm germ layer specification	true	Collides with siblings 'Endoderm organ development and epithelial specification', 'Endoderm-derived epithelial organ development', and 'Endoderm-derived organ morphogenesis and differentiation'; narrowed to the germ-layer specification step distinct from those organ-development themes.	11	internal	n0618		claude-sonnet-5	name-v2	current
0eb4194cf616ed18	Neurodegenerative proteinopathy and glial fate regulation	true	Union spans amyloid-beta/tau pathology control and gliogenesis/glial proliferation control, two CNS regulatory programmes with no direct members adding further scope.	13	internal	n0654		claude-sonnet-5	name-v2	current
0ecfa1d100ed54e3	Immune cell differentiation and inflammatory signalling	true	Name is distinct from parent and siblings, which focus on adhesion/hemostasis while this covers differentiation and inflammatory signalling.	312	internal	n0403		claude-sonnet-5	name-v2	current
0ed5cec8c95d2e0e	Presynaptic vesicular neurotransmitter transport	true	Too similar to sibling 'Presynaptic neurotransmitter release and reuptake'; narrowed to focus on vesicular loading/transport rather than release and reuptake mechanisms.	9	leaf	n0225		claude-sonnet-5	name-v2	current
0f3d93c8550b31e2	Endosomal nucleic acid-sensing TLR signalling	true	No siblings to collide with, and the name is more specific than both parents by specifying the nucleic acid-sensing TLR subset and endosomal signalling context.	4	leaf	n0141		claude-sonnet-5	name-v2	current
0fd1b3b9ab25cbb8	Constitutively active kinase fusions in oncogenesis	true	Distinct from parent (broader mutant/fusion signalling) and sibling (specifically RTK mutants/fusions); this theme covers non-RTK constitutively active kinase fusions.	7	leaf	n0578		claude-sonnet-5	name-v2	current
0fe17d08d166ea29	Nutritional immunity and metal sequestration	true	Overlapped with parent's antimicrobial focus; the members specifically involve metal ion sequestration mechanisms, distinguishing from sibling's humoral effectors and parent's broader phagocyte mechanisms.	7	internal	n0455		claude-sonnet-5	name-v2	current
10219615c23dbf7e	Receptor tyrosine kinase signal transduction	true	Distinct from all siblings; no repeated parent (root) or collision with sibling names.	39	internal	n0735		claude-sonnet-5	name-v2	current
10481c5851475f9b	Calcium-cAMP-CREB signalling	true	No siblings present and name is distinct from both parents, specifying a calcium-cAMP-CREB axis not implied by either parent name.	4	leaf	n0153		claude-sonnet-5	name-v2	current
10921cc5424dccc0	Epidermal and hair follicle differentiation	true	No siblings present, and name is distinct from parent (differentiation process vs. cornified envelope formation/keratinization outcome).	7	leaf	n0219		claude-sonnet-5	name-v2	current
1112732bb7c2e51d	Central carbon and small-metabolite metabolism	true	Covers pyruvate/central carbon metabolism plus glycerol, alditol, and alanine metabolism, all small-molecule central metabolic pathways feeding or branching from core carbon metabolism.	7	internal	n0283		claude-sonnet-5	name-v2	current
119e3a584bf462ad	Nucleic acid sensing and type I interferon signalling	true	Already distinct from parent and sibling; specifically covers nucleic acid sensing coupled with type I interferon signalling, distinct from broader antiviral defence and host-virus interaction sibling.	21	internal	n0303	in_range	claude-sonnet-5	name-v2	current
12c5e576f2e5104d	Long-term potentiation signalling	true	Overlapped with parent's 'synaptic signalling' and sibling 'synaptic glutamate receptor regulation'; narrowing to LTP-specific plasticity mechanisms distinguishes it from receptor regulation and cytoskeletal remodeling siblings.	12	internal	n0558		claude-sonnet-5	name-v2	current
131bcc83ceec6f02	Sulfur amino acid metabolism	true	Overlapped with parent 'Amino acid catabolism' and sibling 'Nitrogen and amino acid metabolism'; narrowed to sulfur-containing amino acid pathways specifically.	11	internal	n0333		claude-sonnet-5	name-v2	current
139394d9e621bc39	Cholesterol and HDL transport regulation	true	Distinct from parents and siblings; no other sibling covers cholesterol/HDL transport specifically.	18	internal	n0233		claude-sonnet-5	name-v2	current
13b603e14f6d7f75	Hemostasis and coagulation factor disorders	true	Distinct from parent (vascular injury response is broader) and sibling (fibrotic remodelling is a different process); adequately specific.	13	internal	n0271		claude-sonnet-5	name-v1	superseded
13f238b65bad83af	Insulin and glucagon substrate signaling	true	Nearly synonymous with parent 'Hormonal regulation of glucose and lipid metabolism' and overlaps sibling scope; narrowed to specify the hormonal axis distinguishing it.	9	leaf	n0622		claude-sonnet-5	name-v2	current
14274cc036597b80	Phosphate ion metabolism	true	Collided with sibling 'Nucleotide metabolism' and echoed parent 'Phosphate group transport and metabolism'; narrowing to phosphate ion handling distinguishes it from the nucleotide-focused sibling.	6	leaf	n0113		claude-sonnet-5	name-v2	current
142dc63552aff4e6	Hemostasis and platelet-mediated cell adhesion	true	Name is distinct from parent and siblings; no other theme covers hemostasis/platelet adhesion specifically.	22	internal	n0466		claude-sonnet-5	name-v2	current
1575404618c18708	Oro-gastric secretion and sensation	true	Distinct from all listed siblings; no parent to collide with.	13	internal	n0729		claude-sonnet-5	name-v2	current
1580eb2555ccca20	Germ cell meiosis and fertilisation	true	Union covers gonad development, meiotic gamete formation and sperm-egg fusion, spanning both children without extending beyond reproductive germline biology.	19	internal	n0032		claude-sonnet-5	name-v2	current
15867ff385e69e2a	Skeletal muscle development and regeneration	true	Distinct from siblings like "Muscle tissue growth and remodelling" and "Cardiac and skeletal muscle growth and proliferation" since it specifically covers skeletal muscle development and regeneration processes, not cardiac or generic muscle remodelling.	12	internal	n0744		claude-sonnet-5	name-v2	current
1668c274d0119407	Circadian clock gene expression	true	Distinct from all siblings and does not repeat either parent name.	5	leaf	n0046		claude-sonnet-5	name-v2	current
16ba58d3b7e9d341	Monocyte and neutrophil biology	true	Distinct from siblings which cover other lineages (myeloid/megakaryocyte differentiation, lymphocyte identity, phagocyte effector mechanisms); name specifies monocyte/neutrophil biology uniquely.	10	internal	n0795		claude-sonnet-5	name-v2	current
16c20778e08da39e	Mitochondrial and cytosolic gene expression	true	Union covers translation (cytosolic and mitochondrial), mitochondrial gene expression, and the direct member mitochondrial rRNA processing, all steps in producing proteins from nuclear and mitochondrial genomes.	13	internal	n0778		claude-sonnet-5	name-v2	current
16d071291c32c032	cGAS/RIG-I-driven type I interferon induction	true	Overlapped with parent 'Cytosolic nucleic acid sensing and antiviral interferon signalling'; specifying the cGAS/RIG-I sensors distinguishes it from that parent and from the TLR-driven sibling.	7	leaf	n0077		claude-sonnet-5	name-v2	current
173a5970c6b628bf	Activity-dependent synaptic plasticity	true	Repeats parent 'Synaptic architecture and plasticity' and overlaps sibling 'Neurotransmitter release and synaptic signalling'; narrowing to plasticity mechanisms driven by activity distinguishes it.	8	leaf	n0563		claude-sonnet-5	name-v2	current
1742341d01febace	Amino acid and small solute transport	true	placeholder	13	internal	n0677		claude-sonnet-5	name-v2	current
179655098765608a	Selectin-mediated leukocyte rolling	true	Nearly restated the parent concept of leukocyte-endothelial adhesion control; narrowed to the specific rolling/selectin mechanism, distinguishing it from the mechanotransduction sibling.	4	leaf	n0154		claude-sonnet-5	name-v2	current
17aea9adcb938e84	Glucose and lipid metabolic regulation	true	Too broad and overlapped with siblings like insulin secretion, HPA axis, and steroid biosynthesis; narrowed to the metabolic regulation aspect distinct from those specific endocrine axes.	471	internal	n0763		claude-sonnet-5	name-v2	current
1860aaa5b5213370	Oxidative stress response and antioxidant defence	true	No siblings to collide with, and the name is more specific than the parent (which also covers ferroptosis regulation), so it remains distinct.	5	leaf	n0020		claude-sonnet-5	name-v2	current
18bbb15c5153ea1f	Cytochrome c release and apoptosome formation	true	Repeated parent 'Mitochondrial apoptotic signalling' essentially verbatim; renamed to specify the distinct downstream steps this theme covers.	4	leaf	n0063		claude-sonnet-5	name-v2	current
18da22c7f76c2bda	Mucopolysaccharide and glycoprotein degradation disorders	true	Overlapped with sibling 'Glycan, glycolipid and galactose metabolism' on generic glycan metabolism; narrowed to the mucopolysaccharidosis/glycoprotein degradation enzyme defects that distinguish this theme.	16	internal	n0304		claude-sonnet-5	name-v2	current
1904f324301208ca	Coagulation cascade regulation	true	Overlapped heavily with parent 'Platelet activation and coagulation'; renamed to focus on the coagulation cascade regulation aspect distinct from platelet activation.	6	internal	n0735		claude-sonnet-5	name-v1	superseded
19295e12bd55ddfd	Dendritic morphogenesis and synaptic signalling	true	No siblings to collide with, and name is distinct from parent by specifying dendritic morphogenesis and synaptic signalling versus the broader neuronal morphogenesis process.	17	internal	n0223		claude-sonnet-5	name-v2	current
199c05a43501716f	Macrophage cytokine-driven inflammatory activation	true	Union covers macrophage/myeloid TLR- and Fc-receptor-driven cytokine and inflammatory mediator production plus its regulation, broader than the single TLR-specific child but restricted to macrophage/myeloid inflammatory mediator output rather than immune signalling generally.	11	internal	n0807		claude-sonnet-5	name-v2	current
19d9fbed2f829aa2	Aquaporin-mediated water transport	true	Overlapped with sibling 'Osmotic and water homeostasis'; specifying aquaporin channels distinguishes the mechanism from general osmotic homeostasis.	8	internal	n0226		claude-sonnet-5	name-v2	current
1a40b6d7a1c1d3d8	Dopaminergic reward and motivation regulation	true	Nearly identical to sibling 'Dopaminergic modulation of locomotor behavior'; distinguishing by reward/motivation focus rather than locomotion.	11	internal	n0472		claude-sonnet-5	name-v2	current
1a48d524fc1e8bb2	Systemic phosphate and mineral ion homeostasis	true	Overlapped with 'Skeletal mineralization and matrix glycosylation'; narrowed to emphasize systemic phosphate/ion regulation rather than skeletal matrix-specific mineralization.	9	internal	n0608		claude-sonnet-5	name-v2	current
1a58de7346f73f75	Excitation-contraction coupling	true	Already distinct: it names the specific electrical-to-mechanical coupling process, unlike the parent (hypertrophy regulation) and siblings which focus on growth signaling and general contraction/calcium regulation.	44	internal	n0635		claude-sonnet-5	name-v2	current
1a78af2400af737c	Renal tubule and ureter morphogenesis	true	Repeats and broadens parent's specific glomerular endothelial vasculature focus; renaming to a more specific structural scope distinguishes it from parent.	16	internal	n0000		claude-sonnet-5	name-v2	current
1abe82bff9584a50	GTPase cycle regulation by GAPs and GEFs	true	Nearly duplicates sibling 'Small GTPase signalling' and 'Rho GTPase signalling'; specifying regulation via GAP/GEF cycling distinguishes it from general signalling siblings.	13	internal	n0551	in_range	claude-sonnet-5	name-v2	current
1acae97e51e04392	Bile acid and alcohol biosynthesis	true	Overlapped with sibling 'Bile acid and fat-soluble vitamin metabolism' on bile acid scope; narrowed to alcohol-specific processing distinct from vitamin handling.	11	internal	n0700		claude-sonnet-5	name-v2	current
1ad4c96aa320fcfb	Amino acid and micronutrient metabolism	true	Overlapped conceptually with parent's glucose/lipid focus and was too vague versus siblings like pancreatic function or adipocyte regulation; narrowed to the specific small-molecule classes distinct from glucose/lipid/hormone pathways.	420	internal	n0596		claude-sonnet-5	name-v2	current
1afccad0dae63262	Ribosome biogenesis and nuclear RNA processing	true	Distinct from parent and sibling; specifically names ribosome biogenesis and nuclear RNA processing, unlike the broader parent and the sibling's focus on gene expression/protein biosynthesis.	61	internal	n0545		claude-sonnet-5	name-v2	current
1b3adb05c5d6f549	Germ cell and oocyte maturation control	true	Distinct from parent (broader gonadal development) and sibling (meiotic gametogenesis focuses specifically on meiosis, while this covers germ cell/oocyte maturation broadly); no collision.	5	leaf	n0220		claude-sonnet-5	name-v2	current
1c527fb0f06a014d	Meiotic chromosome and spindle dynamics	true	Distinct from parent (which covers broader meiotic division processes) and sibling (gametogenesis/reproductive development); this theme specifically covers chromosome and spindle mechanics.	10	internal	n0463		claude-sonnet-5	name-v2	current
1c8aaa133f0386f0	Sensory signal transduction	true	Overlaps with sibling 'Sensory organ function and perception'; renamed to specify the perceptual signaling/transduction aspect distinct from organ structure/function.	14	internal	n0550		claude-sonnet-5	name-v2	current
1cbfb0c07de2c6cb	Sarcoplasmic reticulum calcium reuptake	true	No siblings, and the name is already more specific than the parent (reuptake vs. broader cycling), distinguishing it clearly.	5	leaf	n0192		claude-sonnet-5	name-v2	current
1d196967b379e452	General ER stress and UPR overview	true	Overlaps heavily with sibling 'Unfolded protein response regulation' and duplicates parent's ER stress focus; needs to distinguish itself as a broader overview rather than the specific regulation covered by the sibling.	6	leaf	n0237	general	claude-sonnet-5	name-v2	current
1d37c6eb2893e351	Glycolysis and TCA cycle regulation	true	Overlapped parent's 'carbon metabolism' term and sibling's ketogenesis focus; narrowed to the specific glycolytic/TCA pathways this theme actually covers.	10	internal	n0560		claude-sonnet-5	name-v2	current
1d382435e4bfe1a1	Platelet activation and thrombin/PAR signalling in hemostasis	true	No collision with parent or siblings; name is already distinct and specific.	4	leaf	n0064	in_range	claude-sonnet-5	name-v2	current
1deb38b68941f6c2	Oncogenic kinase signalling by mutant and fusion proteins	true	Both children and all representative members describe constitutively active kinases—receptor tyrosine kinase fusions/mutants and downstream kinase fusions/mutants like MAP2K—driving ligand-independent oncogenic signalling.	13	internal	n0089	in_range	claude-sonnet-5	name-v2	current
1dff2fd4d315b722	Embryonic tissue and organ patterning	true	The child covers germ layer and cell fate commitment, while direct members add neural crest fate, diaphragm development, and endothelin-mediated blood pressure regulation—broader developmental patterning and morphogenesis events beyond fate specification alone.	21	internal	n0567		claude-sonnet-5	name-v2	current
1eba7ba56d49c289	Glycosaminoglycan metabolism and lysosomal storage disorders	true	Collided with sibling 'Glycosaminoglycan metabolism and related skeletal disorders'; narrowed to specify lysosomal storage disease scope rather than skeletal focus.	12	leaf	n0406		claude-sonnet-5	name-v2	current
1ecc6e541a8e736d	Non-coding RNA processing and modification	true	Name is distinct from parent and sibling; no collision detected.	16	internal	n0586		claude-sonnet-5	name-v2	current
1f3747b6a67be259	Circadian and light-responsive signalling	true	Distinct from all siblings; no other theme addresses circadian rhythm or light-responsive signalling.	15	internal	n0674		claude-sonnet-5	name-v2	current
1f6a1a9f9b069632	Membrane excitability and ion channel regulation	true	Name is distinct from parent and siblings; covers general membrane excitability/ion channel regulation, not specific to cardiac context like the siblings.	16	internal	n0387		claude-sonnet-5	name-v2	current
1f715f99853446fb	Systemic fluid balance regulation	true	Too close to parent themes covering vasopressin and aquaporin water transport mechanisms; renamed to emphasize whole-body regulatory outcome, distinguishing it from the molecular mechanism parents and the cellular-level sibling.	5	leaf	n0193		claude-sonnet-5	name-v2	current
1fc24b461fb17bb5	Dietary sugar and glycogen metabolism	true	Name is distinct from parent and siblings; it specifically covers dietary sugars and glycogen metabolism, unlike hexose transport or polyol/pentose metabolism.	11	internal	n0668		claude-sonnet-5	name-v2	current
2055b94cb3ab96d4		false	The single child theme already spans EMT, terminal secretory maturation, and ERBB2-EGFR signalling, so the parent would just restate that one child's name rather than offer a tighter or genuinely broader umbrella.	6	internal	n0772		claude-sonnet-5	name-v1	superseded
20901c64a5abe471	Sex hormone biosynthesis and differentiation	true	Repeated 'steroid hormone' from both parent themes; narrowing to sex hormone biosynthesis and differentiation distinguishes it as a specific downstream process rather than general steroid metabolism/secretion.	6	leaf	n0213		claude-sonnet-5	name-v2	current
214a78b7c2c48cef	Sensory receptor signaling mechanisms	true	Name is identical to a sibling theme; narrowed to focus on receptor signaling mechanisms distinct from organ development sibling.	24	internal	n0695	mechanisms	claude-sonnet-5	name-v2	current
217cd4505368e4b0	Cell cycle checkpoint regulation	true	Repeated/broader than parent 'Chromosome segregation checkpoint control'; narrowed to focus on cell cycle checkpoint regulation, distinct from sibling's meiosis and fertilisation focus.	95	internal	n0580		claude-sonnet-5	name-v2	current
219e4c29e756c04e	Cadherin-mediated adhesion and EMT	true	Distinct from parent and sibling; specifically identifies cadherin-mediated adhesion and epithelial-mesenchymal transition, not covered by the sibling's broader junction organization scope.	11	internal	n0090		claude-sonnet-5	name-v2	current
2230df126714ebe6	Mitochondrial DNA replication and repair	true	Too similar to parent 'Mitochondrial gene expression' and overlapping with sibling's gene expression scope; renaming to focus on genome maintenance aspect (replication/repair) distinguishes it from both.	6	leaf	n0302		claude-sonnet-5	name-v2	current
223d1f8bd8f2e379	Hypothalamic-pituitary-adrenal axis regulation	true	All members concern control of HPA-axis hormone output—corticotropin, glucocorticoid, or steroid hormone secretion/synthesis, including growth-axis and adrenal enzyme defects that feed into this endocrine regulation.	8	leaf	n0348		claude-sonnet-5	name-v2	current
2320a4c0900aaffa	Protein modification and hemostatic regulation	true	The children cover clot formation/dissolution (Hemostasis) and regulated proteolysis, while the direct members add post-translational modification and adhesion regulation that underlie these processes; the umbrella spans protein modification and its role in hemostatic control without broadening to all signalling or metabolism.	28	internal	n0661		claude-sonnet-5	name-v2	current
23911cdacc2aae85	Mitotic chromosome segregation	true	Parent 'Meiotic division machinery' concerns meiosis; current name conflates mitosis with cytokinesis, an unrelated process, so narrowing to chromosome segregation clarifies distinction.	13	internal	n0291		claude-sonnet-5	name-v2	current
23e1b6e552b49325	RhoA GTP-GDP cycling	true	Repeated parent 'GTPase cycle regulation by GAPs and GEFs' concept and overlapped with sibling 'Small GTPase signalling regulation'; specifying RhoA nucleotide cycling distinguishes it.	4	leaf	n0068		claude-sonnet-5	name-v2	current
