key	source	text_availability	stratum	blind_label	model	words	clean	findings	description_generated
go:GO:0033002	go	described	go/terse_def	C	claude-sonnet-5	140	yes	-	"Muscle cell proliferation" describes the expansion of muscle cell populations through mitotic division, the process that builds skeletal, cardiac, and smooth muscle mass during development, enables regeneration after injury, and, when dysregulated, contributes to vascular smooth muscle overgrowth in atherosclerosis or pathological cardiac hypertrophy. It is controlled by growth factor signaling through FGF, PDGF, IGF1, TGF-beta/BMP, and Notch pathways acting on receptors like FGFR1, PDGFRB, and NOTCH1, which converge on cell cycle regulators such as CDK1, CCNB1, CDKN1A, and CDKN1B to determine whether myoblasts, cardiomyocyte precursors, or vascular smooth muscle cells divide or exit the cycle. Transcription factors including MYOCD, MEF2C, GATA6, NKX2-5, and TBX5 link this proliferative decision to lineage identity and differentiation timing, while a large network of microRNAs fine-tunes the balance between proliferation and terminal differentiation, coupling muscle growth to developmental patterning, injury repair, and disease-associated remodeling.
go:GO:0033002	go	described	go/terse_def	B	claude-haiku-4-5	155	no	length=155 words, want 90-150	"Muscle cell proliferation" controls the expansion of muscle tissue through coordinated cell division and encompasses the growth factor signalling, cell cycle machinery, and transcriptional regulators that drive myoblast expansion or regeneration of muscle fibres after injury. Without it, muscle cannot grow during development or repair itself after damage, leading to weakness and wasting. The pathway integrates mitogenic signals from growth factors—insulin-like growth factors, fibroblast growth factors, and bone morphogenetic proteins—acting through receptor tyrosine kinases and transforming growth factor-beta pathways that activate AKT and MAPK cascades. These drive cyclin-dependent kinase activity and progression through G1 and S phase, controlled by checkpoint inhibitors like p21 and p27. Myogenic transcription factors including MEF2 proteins and MYOG promote the myoblast state while simultaneously restraining further division, and microRNAs like mir-133 and mir-145 enforce exit from the cell cycle as differentiation proceeds. The pathway thus distinguishes proliferation from terminal myogenic differentiation, allowing tissue growth before commitment to the contractile phenotype.
go:GO:0072584	go	described	go/typical	C	claude-opus-5	128	yes	-	"Caveolin-mediated endocytosis" is the clathrin-independent route by which cells internalise membrane and cargo through caveolae, the flask-shaped invaginations that stud the surface of endothelium, adipocytes and muscle. It governs lipid and receptor turnover, transcytosis across capillary walls, mechanical buffering of the plasma membrane under stretch, and the entry of certain toxins and viruses; loss of caveolar structure underlies lipodystrophy, pulmonary hypertension and caveolin-3-linked muscular dystrophies. Caveolin scaffolds cholesterol- and sphingolipid-rich domains, and the vesicle is pinched off with help from BAR-domain proteins such as PACSIN2 and the endocytic adaptor intersectin. Src-family phosphorylation of caveolin-1, together with ERK signalling and NEDD4L-directed ubiquitination, sets how readily caveolae bud and how their cargo is sorted, linking the pathway to membrane trafficking, lipid homeostasis and mechanotransduction rather than to bulk nutrient uptake.
go:GO:0072584	go	described	go/typical	A	claude-sonnet-5	138	yes	-	"Caveolin-mediated endocytosis" describes a route into the cell that begins in caveolae, flask-shaped invaginations of the plasma membrane built from caveolin and cavin proteins, which pinch off to form vesicular carriers independent of clathrin. It matters because this route governs lipid uptake and membrane lipid homeostasis, mechanical buffering of the plasma membrane under tension, and internalization of specific receptors and pathogens, and its dysfunction contributes to muscular dystrophies, lipodystrophy, and altered cell signalling. Caveolin (CAV1, CAV3) forms the coat, while adaptors such as PACSIN2 and intersectin (ITSN1) help sculpt and scission the neck, with actin-regulatory and kinase signals from SRC, MAPK1/3 controlling caveolar dynamics and turnover. NEDD4L-mediated ubiquitination regulates degradation of internalized cargo, linking this pathway to membrane protein turnover, mechanotransduction, and the trafficking control that keeps signalling receptors and lipid transporters properly localized at the cell surface.
go:GO:0072584	go	described	go/typical	B	claude-haiku-4-5	141	yes	-	"Caveolin-mediated endocytosis" brings cargo into the cell through specialised dimples in the plasma membrane that budge inward and pinch off as transport vesicles. Cells use it to internalise lipids, cholesterol, and signalling receptors, and loss of caveolar function causes muscular dystrophy, metabolic syndrome, and impaired insulin sensitivity. Caveolins themselves are the defining structural scaffolds; they cluster to create the curved lipid domains that cage cargo and recruit the machinery that deforms the membrane. SRC kinase, the Rho-like GTPase controllers ITSN1 and PACSIN2, and NEDD4L ubiquitin ligase orchestrate this budding. Some pathways depend on this route exclusively: certain viruses exploit it for entry, and the albumin receptor gp60 depends on caveolar traffic for transendothelial transport. Unlike clathrin-coated pits, which capture diverse cargo through adaptor proteins, caveolae directly concentrate lipids and cholesterol, making them both a transport mechanism and a membrane organisational principle.
go:GO:0048646	go	described	go/large_set	B	claude-opus-5	134	yes	-	"anatomical structure formation involved in morphogenesis" covers the developmental steps by which a recognizable rudiment first takes shape from unpatterned tissue, and it is the process that turns an embryo's cell fate decisions into organs with form: heart chambers, somites, tooth enamel, kidney nephrons, myelinated nerves, blood and lymphatic vessels. Its failure produces congenital malformation rather than absence of cells. The genes span the standard morphogenetic toolkit -- Wnt, BMP/TGF-beta/Nodal, Notch, Hedgehog, FGF and VEGF/angiopoietin signalling read out by tissue-specific transcription factors such as TBX5, GATA4, MYOD1, PITX2 and HOX and SOX families -- acting on cell adhesion, integrin-matrix contacts, collagen and metalloproteinase remodelling, actomyosin contractility, planar polarity and ciliary function. Tube formation, sprouting angiogenesis, myoblast fusion, epithelial-mesenchymal transition and cell migration are the recurring cellular manoeuvres, with abundant microRNA regulation tuning their timing.
go:GO:0048646	go	described	go/large_set	C	claude-sonnet-5	146	yes	-	"Anatomical structure formation involved in morphogenesis" covers the earliest developmental events by which unspecified embryonic tissue becomes a recognizable organ rudiment, and it underlies the emergence of nearly every organ system, vessel, and tissue in the body -- without it, embryos fail to progress from patterned germ layers to discrete structures like limbs, heart chambers, kidneys, or vasculature. The genes reflect this breadth: master transcription factors (SOX2, GATA4, TBX5, PAX6, NKX2-5) specify tissue identity, signaling pathways (WNT, BMP, NOTCH, FGF, VEGF, Hedgehog) coordinate proliferation, polarity, and cell fate decisions, and cytoskeletal, adhesion, and extracellular matrix components (integrins, cadherins, collagens, laminins) execute the physical rearrangements of cells into tubes, sheets, and buds. Angiogenic and hematopoietic regulators indicate that vessel and blood formation are prominent outputs. Failure of these processes causes congenital malformations, and their reactivation or dysregulation in adults contributes to fibrosis, aberrant vascularization, and cancer invasion.
go:GO:0048646	go	described	go/large_set	A	claude-haiku-4-5	155	no	length=155 words, want 90-150	"Anatomical structure formation involved in morphogenesis" encompasses the developmental processes by which discrete organs, tissues, and body parts arise from relatively undifferentiated cell populations and become morphologically recognizable. This pathway is the foundation of embryonic development, determining body plan and tissue identity, and its failures cause birth defects ranging from organ agenesis to structural malformations. The genes span multiple developmental modes: morphogen signalling through Wnt, BMP, FGF, and Notch families orchestrates patterning and differentiation; transcription factors like GATA, HOX, SOX, and PAX families govern cell fate decisions and tissue specification; cell-cell and cell-matrix adhesion systems including cadherins, integrins, and selectins enable tissue assembly and prevent ectopic migration; and cytoskeletal remodelling proteins including actins, myosins, and regulatory factors drive the physical deformations underlying gastrulation, tubulogenesis, and invagination. Extracellular matrix proteins and their regulators establish structural scaffolds and control growth factor availability. Together these components specify where structures form, coordinate cell rearrangements, and stabilize the resulting architecture.
hallmark:HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	described	hallmark	A	claude-opus-5	133	yes	-	"Interferon alpha response" is the transcriptional program a cell switches on when type I interferon binds its receptor, converting a warning signal from infected neighbours into an antiviral state. It is the first line of innate defence against viruses, and its chronic activation drives interferonopathies and contributes to lupus and other autoimmune disease. STAT2 and IRF9 relay the signal to interferon-stimulated response elements, and IRF7 amplifies it in a feed-forward loop, while USP18 and other negative regulators restrain it. The induced effectors act on many fronts: OAS1 and EIF2AK2 shut down viral RNA and translation, MX1, RSAD2, BST2 and the IFITM proteins block entry, replication and release, ISG15 with UBA7 and UBE2L6 tags proteins for antiviral modification, and immunoproteasome subunits with TAP1 and MHC class I enhance antigen presentation to recruit adaptive immunity.
hallmark:HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	described	hallmark	C	claude-sonnet-5	138	yes	-	"Interferon alpha response" describes the set of genes that cells switch on when type I interferon binds its receptor, forming the core of the antiviral state that limits spread of viral infection before adaptive immunity engages. Loss of this response leaves cells permissive to viral replication, while its excessive or chronic activation drives autoimmune conditions such as lupus, where a persistent interferon signature is a hallmark. Mechanistically, signalling through STAT2 and IRF9 downstream of the interferon receptor induces restriction factors that block viral entry, replication and assembly (IFITM1-3, MX1, OAS1, RSAD2), RNA sensors and effectors that halt translation and degrade viral RNA (EIF2AK2, IFIH1, DHX58, ISG15), and antigen-presentation components (TAP1, PSMB8, PSMB9, B2M) that help infected cells signal their status to the immune system. Together these genes convert a soluble interferon signal into cell-intrinsic resistance and immune surveillance.
hallmark:HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	described	hallmark	B	claude-haiku-4-5	147	yes	-	"Interferon alpha response" comprises the genes activated when alpha interferons bind to their cell-surface receptor, making up the antiviral state that protects tissue from infection. This transcriptional program underpins the first cellular defense against viruses and other pathogens, and its failure leaves cells vulnerable to persistent infection and unchecked viral replication. The response works through a canonical relay: alpha interferon signals via JAK-STAT, driving expression of STAT2, IRF9, and IRF7, which then amplify and diversify the program. The output includes direct antiviral effectors—MX1 and OAS1 cripple viral replication, IFITM proteins block entry, and RSAD2 inhibits synthesis of viral nucleotides—alongside immune signalling molecules like CXCL10 and IL15 that recruit and activate lymphocytes. A large cohort of ubiquitin ligases and proteasome subunits redirect protein degradation toward innate immune targets. The presence of CASP1 and CASP8 marks activation of cell death pathways that eliminate infected cells before virus can spread.
hallmark:HALLMARK_HEDGEHOG_SIGNALING	hallmark	described	hallmark	B	claude-opus-5	133	yes	-	"Hedgehog signaling" is the transcriptional output of the Hedgehog morphogen pathway, the patterning system that assigns positional identity in the developing neural tube, limb and gut and that later governs stem cell maintenance and tissue repair. Its readout here is defined by the ligand SHH itself together with the receptor PTCH1 and the transcription factor GLI1, forming the ligand-receptor-effector loop whose derepression drives target gene expression; HEY1/HEY2 and the TLE corepressors mark the interface with Notch and Wnt-associated regulation. Many induced genes are neural guidance and adhesion molecules — L1CAM, NRCAM, SLIT1, UNC5C, neuropilins, VLDLR, DPYSL2 — linking Hedgehog activity to axon pathfinding, ventral neuronal specification through NKX6-1, and proliferation via CDK6 and VEGFA-driven angiogenesis. Loss of this signal causes holoprosencephaly and skeletal malformation; its constitutive activation underlies basal cell carcinoma and medulloblastoma.
hallmark:HALLMARK_HEDGEHOG_SIGNALING	hallmark	described	hallmark	A	claude-sonnet-5	154	no	json_residue=};length=154 words, want 90-150	"Hedgehog signaling" is a developmental communication system that patterns tissues by telling cells their position and identity, and it remains active in adult stem cell niches and tissue repair. It matters because its loss causes severe birth defects such as holoprosencephaly and limb malformations, while its inappropriate reactivation drives cancers including basal cell carcinoma and medulloblastoma. Mechanistically, secreted SHH binds the receptor PTCH1, relieving repression of downstream signaling and activating GLI1 and other transcription factors, which is why GLI1 and PTCH1 themselves appear among the genes induced. This gene set captures that transcriptional output: neural patterning and axon guidance genes (NRP1, NRP2, L1CAM, NRCAM, UNC5C, SLIT1), cell cycle regulators like CDK6, and targets such as HEY1/HEY2 and NKX6-1 that specify neural and other progenitor identities. Together these effects link Hedgehog activity to neural tube patterning, angiogenesis via VEGFA, and control of stem and progenitor cell proliferation.”}}}...wait invalid extra characters — output must be clean.{
hallmark:HALLMARK_HEDGEHOG_SIGNALING	hallmark	described	hallmark	C	claude-haiku-4-5	175	no	length=175 words, want 90-150	"Hedgehog signaling" is the developmental pathway that patterns a wide range of tissues -- limbs, neural tube, midline structures, and skin among them -- by creating spatial gradients of a secreted signal that tell cells what position they occupy and what identity to adopt. Without it, embryos fail to form distinct body segments, limbs lack internal structure, and the brain forms as a single sphere instead of separate hemispheres. Hedgehog proteins are released and modified at the membrane by Dispatched and Scube2, then travel as morphogens across neighboring tissues. They bind Patched, releasing Smoothened to activate GLI transcription factors, which then turn on target genes that guide cell fate, proliferation, and differentiation. The targets themselves span architecture and cell type: axon guidance cues like Neuropilins and Slits that wire the nervous system, adhesion molecules for tissue assembly, cell cycle regulators including CDK6 that drive proliferation in response to the signal, and differentiation markers. In the adult, the same pathway controls tissue homeostasis and is co-opted in a subset of cancers when its negative regulators fail.
btm:M95.1	btm	name_only	btm/name_only	A	claude-opus-5	135	yes	-	"enriched in antigen presentation (III)" describes the machinery by which professional antigen-presenting cells display peptides to CD4+ T helper cells, the step that licenses adaptive immune responses and antibody production. Its core is the MHC class II locus BA/DRB heterodimers, together with HLA-DM, which catalyses the exchange of invariant chain-derived CLIP peptide for antigenic peptide in the endolysosomal loading compartment. Around this sits the myeloid and lymphoid membrane apparatus needed for productive contact: the integrin LFA-1 beta chain and ICAM1 forming the adhesive ring of the immunological synapse, the phosphatase CD45 and adaptors FYB and PLEK tuning receptor signalling, and macrophage- and microglia-associated proteins such as AIF1, CD53 and LAPTM5. Expression of these genes marks tissue macrophage and dendritic cell infiltration, and their variation at the class II locus underlies susceptibility to many autoimmune diseases.
btm:M95.1	btm	name_only	btm/name_only	B	claude-sonnet-5	146	yes	-	"Enriched in antigen presentation (III)" describes the machinery by which immune cells display foreign or self peptides to T lymphocytes, initiating adaptive immune responses against infection and tumors, and its disruption underlies impaired T cell activation or autoimmune misrecognition. The core is the HLA-DR/HLA-DM system, which loads peptides derived from endocytosed proteins onto MHC class II molecules within antigen-presenting cells such as dendritic cells, macrophages, and B cells for surface display to CD4+ T cells. Supporting this, ICAM1 and ITGB2 mediate the adhesive contacts of the immunological synapse that stabilize antigen-presenting cell-T cell interactions, while PTPRC (CD45) and FYB tune receptor signaling thresholds. Leukocyte-restricted genes like CD53, AIF1, LAPTM5, PLEK, and EVI2B mark the hematopoietic, largely myeloid and lymphoid identity of the cells performing this function, linking antigen processing, cytoskeletal remodeling, and intercellular adhesion into a coordinated surveillance system that bridges innate detection and adaptive immunity.
btm:M95.1	btm	name_only	btm/name_only	C	claude-haiku-4-5	143	yes	-	"Enriched in antigen presentation (III)" mediates the display of processed antigens on MHC class II molecules to T helper cells, the first step in activating adaptive immunity against extracellular pathogens. Loss of this pathway silences the immune response to viruses, bacteria, and parasites that reside outside cells. The pathway includes the HLA-DM chaperones that catalyze peptide loading onto nascent MHC II dimers in endosomal compartments, the HLA-DR molecules themselves that present the peptides, and the adhesion and signalling machinery of antigen-presenting cells. ICAM1 and ITGB2 anchor T cell contacts; PTPRC and the FYB-related adaptors transduce activation signals; CD53, EVI2B, and LAPTM5 are markers of the myeloid and B cells that typically perform this role. The pathway operates in dendritic cells, macrophages, and B cells to translate pathogen capture into T cell help, driving differentiation of naive T cells into effectors and memory cells.
btm:M47.0	btm	name_only	btm/name_only	B	claude-opus-5	143	yes	-	"enriched in B cells (I)" is a transcriptional signature of the B lymphocyte lineage: the set of genes expressed far more highly in B cells than in other blood cells, useful for identifying B cell content in tissues and tumours and for tracking B cell depletion or expansion. Its members span the antigen receptor itself and its proximal signalling apparatus — surface immunoglobulin heavy and light chains, the CD79A/CD79B module, CD19, CD22, BLK, BANK1 and STAP1 — together with the transcription factors PAX5, EBF1, SPIB and TCF4 that commit progenitors to the lineage and maintain B cell identity. Also represented are co-receptors and inhibitory regulators (CD72, BTLA, FCER2, complement receptor CR2), the follicular homing receptor CXCR5, and markers of immature and naive stages such as VPREB3 and TCL1A. Loss of these programs abolishes antibody-mediated immunity; their dysregulation underlies B cell lymphomas and autoimmunity.
btm:M47.0	btm	name_only	btm/name_only	C	claude-sonnet-5	165	no	length=165 words, want 90-150	"Enriched in B cells (I)" captures the set of genes whose expression marks the B lymphocyte lineage, from early commitment through the mature, antigen-experienced cell. Its presence defines what makes a B cell a B cell rather than another leukocyte, and it underlies humoral immunity -- the production of antibodies against pathogens and vaccines, as well as the autoimmune and lymphoproliferative disease that follows when B cell identity or signalling goes awry. The genes span the B cell receptor complex (CD79A, CD79B, immunoglobulin heavy and light chain segments), transcription factors that establish and maintain lineage commitment (PAX5, EBF1, SPIB, TCF4, BCL11A), and surface receptors that regulate activation, adhesion, and migration (CD19, CD22, CD72, CR2, CXCR5, FCER2). Many of these same molecules are the diagnostic markers used to identify B cells and lymphomas of B cell origin, and several are direct targets of B cell depleting antibody therapies used in autoimmune disease and cancer, linking this expression signature directly to lineage-specific immune function and clinical intervention.
btm:M47.0	btm	name_only	btm/name_only	A	claude-haiku-4-5	163	no	length=163 words, want 90-150	"Enriched in B cells (I)" is the molecular signature of B cell identity and antigen receptor function. This pathway defines the developmental programme by which bone marrow progenitors become mature B lymphocytes and the surface and signalling machinery that enables them to recognise and respond to antigens. B cells are the effectors of antibody-mediated immunity, and failure of B cell development or function causes immunodeficiency, while their inappropriate activation drives autoimmunity and lymphoma. The gene set encompasses transcription factors that enforce B cell commitment and hold it through development, including EBF1 and PAX5; the B cell antigen receptor itself (CD79A, CD79B, IGHM, IGHD) and its signalling adaptors (BANK1, BLK, STAP1); co-receptors that modulate receptor signalling (CD22, FCRL1, FCRL5, BTLA); molecules that position B cells in lymphoid tissues (CXCR5, CR2); and the transport machinery for immunoglobulin assembly and secretion. Together these genes encode both the checkpoint mechanisms that ensure proper development and the activation machinery that transforms antigen recognition into proliferation and antibody production.
btm:M66	btm	no_usable_text	btm/tba	B	claude-opus-5	138	yes	-	This pathway is the differentiated tissue macrophage program — the transcriptional and enzymatic identity that lets monocyte-derived cells phagocytose debris and pathogens, present antigen, and locally restrain T cell responses. It matters for infection control, iron and heme turnover, and the immunosuppressive myeloid states found in tumours and in the inflamed brain. The genes trace several arms of that phenotype: FCER1G with BTK and ADAP2 couple Fc and immune receptors to phagocytic and cytoskeletal responses; CYBB drives the NADPH oxidase respiratory burst whose loss causes chronic granulomatous disease; HMOX1 degrades heme to release iron and carbon monoxide; and IFI30, CPVL and CST3 handle lysosomal proteolysis for antigen processing. IDO1, KMO and KYNU run tryptophan down the kynurenine route, depleting tryptophan and generating metabolites that suppress effector lymphocytes, with MAFB reinforcing macrophage commitment."TBA" aside, this is macrophage effector biology.
btm:M66	btm	no_usable_text	btm/tba	A	claude-sonnet-5	139	yes	-	This gene set represents the biology of mature tissue macrophages and their oxidative, catabolic machinery, defining how these cells sense, engulf, and chemically process microbes and cellular debris. It matters because macrophage effector function underlies innate immune defense against bacteria and fungi, resolution of inflammation, and the tryptophan-kynurenine metabolism that shapes local immune tolerance; its failure contributes to chronic infection susceptibility or dysregulated inflammatory disease. Mechanistically, CYBB and FCER1G couple Fc receptor and complement recognition to NADPH oxidase-driven respiratory burst, generating reactive oxygen species that HMOX1 and ALDH2 help detoxify along with heme breakdown products. IDO1, KYNU, and KMO commit tryptophan to the kynurenine pathway, producing immunomodulatory metabolites, while CST3, IFI30, and CPVL support lysosomal antigen processing. MAFB marks macrophage lineage commitment, and SLC7A7 and SLC31A2 supply amino acid and copper transport needed for this metabolic and immune workload.
