key	kind	quote	reason
go:GO:0033144	wrong	corepressor complexes such as NCOR1/NCOR2 with HDAC1 dock onto liganded receptors to silence target promoters	NCoR/SMRT corepressors are recruited preferentially to unliganded or antagonist-bound steroid receptors; agonist binding promotes coactivator exchange.
go:GO:0034766	wrong	Numerous microRNAs tune channel and pump abundance transcriptionally, linking ion flux control to cardiac and neuronal remodelling.	miRNAs act post-transcriptionally (mRNA degradation/translational repression), not transcriptionally.
go:GO:0036335	unsupported	Loss of this balance underlies impaired regeneration after injury, defective barrier function, and the crypt hyperplasia that precedes colorectal tumorigenesis.	Specific disease/pathology consequences are not derivable from the gene set or curated definition.
go:GO:0036335	unsupported	and chromatin regulation by ZNHIT1 restrains the stem cell programme	The direction of ZNHIT1's effect (restraining vs. supporting ISC self-renewal) is not established by the gene list or curated text; ZNHIT1 is a SRCAP-complex H2A.Z chaperone whose intestinal role is context-dependent.
go:GO:0036466	unsupported	Defects impair synaptic endurance and neurotransmitter release fidelity.	No evidence given for functional consequences of loss of these genes.
go:GO:0036466	unsupported	This route sustains transmission during prolonged or high-frequency firing, when the local vesicle pool would otherwise be exhausted, and it also serves as a sorting station that keeps vesicle proteins and lipids correctly composed.	Specific physiological role during high-frequency firing is not established by the gene list or curated description; plausible but asserted.
go:GO:0042220	unsupported	COMT and MAO-adjacent metabolic genes set individual sensitivity, tying this pathway to relapse risk and to dopaminergic neuron identity.	No MAO genes are present, and claims about individual sensitivity/relapse risk are not supported by the name, curated description, or gene list.
go:GO:0042220	wrong	while CRH, oxytocin, prodynorphin-related and kappa-opioid signalling link drug exposure to stress and aversive withdrawal states	PNOC in the list is prepronociceptin/nociceptin precursor, not prodynorphin (PDYN is absent).
go:GO:0042661	unsupported	excess or deficient specification distorts the body plan and causes gastrulation failure or cardiac malformation	Specific disease/phenotype outcomes are not supported by the gene list or curated description.
go:GO:0043084	unsupported	activin receptor signalling contributes to tissue remodelling	No evidence from the name, curated description or gene list links ACVR2A to erectile tissue remodelling.
go:GO:0043084	unsupported	endothelin receptor B signalling opposes contraction	Endothelin acting via EDNRB on cavernosal smooth muscle is predominantly contractile (vasoconstrictive); only endothelial EDNRB gives NO-mediated relaxation, so the blanket claim is not supported.
go:GO:0043084	wrong	adenosine tone maintained by adenosine deaminase act on endothelium and smooth muscle	ADA degrades adenosine, lowering adenosine tone; loss of ADA raises adenosine and causes priapism, so it does not 'maintain' adenosine signalling.
go:GO:0043371	wrong	Lineage-determining transcription factors act reciprocally, so that RUNX3, TBX21, ZBTB7B, BCL6 and FOXP3 each repress alternative helper programmes and enforce mutually exclusive identities, including the choice between CD4 and CD8 lineages during thymic development.	ZBTB7B (ThPOK) is the master positive determinant of the CD4 lineage (it silences the CD8 programme), so listing it as a repressor of helper programmes misstates its direction of effect.
go:GO:0043473	wrong	TYR, TYRP1, DCT, PMEL, OCA2 and SLC45A2 build and acidify the melanosome interior	OCA2 and SLC45A2 regulate melanosomal pH by raising it (neutralizing/alkalinizing) to permit tyrosinase activity, not acidifying it.
go:GO:0044830	unsupported	TMEM41B and VAPB shape endoplasmic reticulum membranes and lipid transfer at contact sites, the setting in which flavivirus and coronavirus replication organelles form	Specific virus families (flavivirus, coronavirus) are not implied by the gene list or curated description, though TMEM41B is known in both contexts.
go:GO:0045607	unsupported	Because mammalian hair cells are not replaced after damage, the balance struck here determines lifelong auditory sensitivity, and its disruption produces congenital deafness or an abnormal sensory epithelium.	The specific claim of congenital deafness resulting from disruption of these genes is a disease association not supported by the gene list or curated description.
go:GO:0045607	unsupported	MYCN and MYCL sustain progenitor proliferation before differentiation, while the splicing regulator ESRP1 shapes epithelial identity in the developing otic tissue.	Specific roles for MYCL/MYCN in otic progenitor proliferation and ESRP1 in otic epithelial identity are mechanistic claims not derivable from the set; ESRP1 as a splicing regulator is correct but its otic role is asserted.
go:GO:0045607	unsupported	This circuitry is the target of efforts to regenerate hair cells.	Therapeutic/regeneration claim not supported by the gene set or curated description.
go:GO:0045723	unsupported	It matters for hepatic de novo lipogenesis, adipose expansion and membrane lipid supply, and its overactivity underlies fatty liver disease, hypertriglyceridaemia and the lipid phenotypes of metabolic syndrome.	Specific disease attributions (fatty liver disease, hypertriglyceridaemia, metabolic syndrome) are not implied by this GO term's definition or gene list.
go:GO:0048340	unsupported	Failure here produces axial skeletal malformations, fused or missing vertebrae, and defective body wall closure.	Specific malformation phenotypes are not derivable from the term or gene list.
go:GO:0048340	wrong	while BMPR1A acting through SMAD2/SMAD3 patterns it dorsoventrally	BMPR1A signals via SMAD1/5/8; SMAD2/3 are effectors of TGF-beta/activin/Nodal receptors, not BMPR1A.
go:GO:0048699	unsupported	Proneural transcription factors such as the neurogenins, NEUROD family, ASCL1 and OLIG2 drive fate commitment	OLIG2 is principally a motor neuron/oligodendrocyte progenitor specification factor and is not a classical proneural bHLH driving neuronal fate commitment; grouping it with neurogenins/NEUROD/ASCL1 is arguable.
go:GO:0048874	unsupported	Bacterial sensing through NOD2 and the downstream adaptor CARD9, together with the NLRP6 inflammasome, drives secretion of antimicrobial peptides such as SPRR2A.	NLRP6/NOD2-CARD9 signalling is not established to drive SPRR2A secretion; SPRR2A is a small proline-rich cornified-envelope-type protein, and this specific regulatory link is not supported by the gene list or curated description.
go:GO:0050819	unsupported	Loss of this braking causes thrombosis, disseminated intravascular coagulation and pregnancy loss, while excess bleeds.	Specific disease associations such as pregnancy loss and DIC are not derivable from the gene list or curated definition.
go:GO:0050819	wrong	Endothelial nitric oxide synthase and platelet-surface proteins such as CD9 and GP1BA link these controls to suppression of platelet activation.	GP1BA (GPIbα) is the von Willebrand factor receptor that mediates platelet adhesion and activation, not a suppressor of platelet activation.
go:GO:0050859	wrong	Inhibitory surface receptors carrying ITIM motifs — CD22, CD72, CD300A and the low-affinity IgG receptor FcGR2B — are phosphorylated by the Src-family kinase LYN and then recruit the tyrosine phosphatase SHP-1 (PTPN6), which dephosphorylates receptor-proximal kinases and adaptors and blunts calcium flux	FcγRIIB's phosphorylated ITIM recruits the inositol phosphatase SHIP-1, not the tyrosine phosphatase SHP-1; also CD72 signalling is generally attributed to SHP-1 but FcGR2B is the clear error.
go:GO:0050885	unsupported	Lysosomal enzymes such as HEXA, HEXB, GAA and TPP1 appear because their deficiency produces progressive ataxia.	Attributes the reason for inclusion; GAA deficiency (Pompe) causes myopathy rather than progressive ataxia primarily.
go:GO:0050915	unsupported	its loss flattens the perception of anything vinegary or citric	Speculative phenotypic claim not supported by the name, curated description, or gene list.
go:GO:0051151	unsupported	Notch effectors HEY1 and HEY2, calcineurin-NFAT components, and the methyltransferase PRDM6 repress contractile gene programmes	RCAN1 is a calcineurin inhibitor rather than a calcineurin-NFAT activating component, so lumping it in as a repressor of contractile genes via NFAT is not supported.
go:GO:0051151	unsupported	but its persistence drives the phenotypic switching that underlies atherosclerotic plaque growth, restenosis after angioplasty, and pulmonary hypertension	Specific disease associations are not derivable from the GO term or gene list.
go:GO:0051151	wrong	miR-143/145-related regulators	miR-143/145 are not in the gene set, and they are canonical promoters (not repressors) of smooth muscle differentiation.
go:GO:0051940	unsupported	Disturbances in this regulation accompany Parkinson's disease, dystonia and addiction, where dopamine tone is either lost or abnormally sustained.	Named disease associations are not supported by the set name, curated description, or gene list.
go:GO:0051940	unsupported	Dopamine receptors of both D1-like and D2-like families provide feedback onto the presynaptic terminal, with autoreceptor signalling adjusting transporter surface expression and activity	D2-like (D2/D3) receptors are the established presynaptic dopamine autoreceptors; D1-like receptors are not known presynaptic autoreceptors on dopamine terminals.
go:GO:0051940	unsupported	Vesicle trafficking and chaperone proteins including RAB3B, alpha-synuclein and torsinA influence transporter delivery and the coupling of release to recovery.	Specific role of these proteins in DAT delivery/'coupling of release to recovery' is not established by gene list or known biology.
go:GO:0051988	unsupported	Cells that regulate it poorly missegregate chromosomes and become aneuploid, a route to tumour initiation and to mitotic arrest or death.	Tumour-initiation claim is an extrapolation not supported by the gene set or curated description.
go:GO:0060664	unsupported	TNF-family input modulates the balance between proliferation and differentiation	No evidence given that TNF acts on the proliferation/differentiation balance in salivary gland; mechanism is speculative.
go:GO:0060664	unsupported	hedgehog signalling and the homeodomain factor NKX3-1 shape epithelial identity and duct patterning	NKX3-1's role in duct patterning/epithelial identity in salivary gland is not established by the gene list or curated description.
go:GO:0060745	unsupported	CSMD1	CSMD1 is in the gene list but the description omits it; not a flaggable error per se — no claim made.
go:GO:0060759	wrong	SOCS-family CISH and phosphatases including PTPN2, PTPN6 and PTPN11 shut down JAK-STAT output	PTPN11 (SHP2) is predominantly a positive/permissive signal transducer downstream of cytokine and growth factor receptors (e.g., RAS-ERK, gp130 signalling); grouping it as a JAK-STAT shut-off phosphatase alongside PTPN2/PTPN6 misstates its main direction of effect.
go:GO:0060977	unsupported	Without it the compact myocardium cannot be nourished, and embryos die of heart failure	Embryonic lethality from heart failure is a specific phenotypic claim not supported by the provided term or gene list.
go:GO:0060977	unsupported	in humans defective coronary patterning underlies congenital anomalies such as coronary fistulae and anomalous origin, and the same programs are reawakened during collateral vessel growth after ischaemia	Specific human disease and post-ischaemic collateral-growth claims are not derivable from the term name, curated definition, or gene list.
go:GO:0061502	unsupported	Actin remodelling through CORO1A and the endosomal chaperone-related protein DNAJC13 shape carrier formation and tubulation.	Attributing carrier formation/tubulation roles to CORO1A and DNAJC13 in this step is a specific mechanism not supported by the term or gene list.
go:GO:0061502	unsupported	The sorting receptor SORL1 illustrates the consequences of misrouting: its handling of amyloid precursor protein through endosomal compartments ties this traffic to Alzheimer's disease risk.	Specific disease association not derivable from the gene set/term, though SORL1-AD links exist in literature.
go:GO:0070173	wrong	Mineral deposition consumes protons, so pH must be buffered: the anion exchanger SLC4A2 and the chloride channel CFTR support bicarbonate movement into the enamel space, and DMP1 contributes to mineralized matrix regulation more broadly.	Hydroxyapatite formation releases protons (acidifying the enamel space), which is why bicarbonate transport by SLC4A2/CFTR is needed to neutralize them; it does not consume protons.
go:GO:0070327	unsupported	with severe psychomotor retardation despite abnormal circulating hormone levels	Disease-specific clinical detail not derivable from the gene set; also the phrasing 'despite abnormal' is garbled relative to the known profile (high T3, low T4).
go:GO:0070417	unsupported	Failure of this adaptation impairs thermal tolerance and energy expenditure, linking it to obesity and cold pain.	Specific disease associations (obesity, cold pain) are not derivable from the gene list or curated definition.
go:GO:0070417	unsupported	lipid droplet proteins such as PLIN1 and CIDEA govern the release and oxidation of stored triglyceride	CIDEA is mainly a lipid-droplet fusion/enlargement factor that restrains lipolysis and inhibits UCP1 activity; casting it as governing triglyceride release and oxidation overstates and partly inverts its role.
go:GO:0070601	unsupported	CTCF ties centromeric cohesin to chromatin architecture	CTCF's established role is with cohesin at chromatin loop anchors/insulators, not documented as centromeric cohesin tethering.
go:GO:0070601	unsupported	and in meiosis underlies the errors that generate trisomic conceptions	A specific human reproductive/disease outcome not implied by the gene list or curated description.
go:GO:0071372	unsupported	endothelin and ephrin signalling that shape follicular vasculature and cell contacts	Specific roles for EFNA5/EPHA8 in follicular vasculature and cell contacts are not implied by the name, curated text, or gene list.
go:GO:0071623	unsupported	their loss favours persistent neutrophilic inflammation of the kind seen in sepsis, arthritis and chronic lung disease	Specific disease associations are not supported by the GO term or gene list.
go:GO:0071888	unsupported	Chemokine signalling through CCL5 and CCR5, PLEKHO2 and the ER-resident SELENOS keep macrophages alive under stress, while CDKN2A, the lysosomal protease cathepsin L, and let-7b push them toward death.	The specific pro-survival vs pro-death assignment of each gene is not supported by the gene list or curated description; GO annotation only marks involvement, not direction.
go:GO:0071888	unsupported	Innate immune sensing feeds in directly, with NOD2 and the interferon regulatory factors IRF3 and IRF7 coupling pathogen detection to apoptotic commitment, and SIRT1 and MEF2C tuning the transcriptional threshold.	Mechanistic claim of a transcriptional threshold role for SIRT1/MEF2C in macrophage apoptosis is not derivable from the provided information.
go:GO:0071888	unsupported	The outcome shapes macrophage numbers in atherosclerosis, tuberculosis and resolving wounds.	Specific disease contexts are not supported by the gene list or curated definition.
go:GO:0071888	unsupported	the decision point that ends an inflammatory response by removing the phagocytes that drove it	Overstates the GO term, which simply denotes apoptosis occurring in a macrophage, not a resolution checkpoint.
go:GO:0071888	unsupported	too much macrophage apoptosis leaves tissues undefended against infection, too little sustains foam cell accumulation in atherosclerotic plaques and chronic granulomatous inflammation	Specific pathological consequences are asserted without support from the term definition or genes.
go:GO:0072025	unsupported	disrupted patterning produces salt-wasting and hypertensive phenotypes	Specific disease phenotype claim not supported by the gene list or curated description.
go:GO:0072025	unsupported	driving expression of the mature markers that define the tubule, including the calcium-binding protein calbindin-1 and uromodulin from the adjoining thick ascending limb	Direct transcriptional activation of CALB1/UMOD by PAX2/PAX8/POU3F3 is a mechanism not implied by the gene list.
go:GO:0072318	unsupported	Loss of auxilin or synaptojanin function impairs synaptic vesicle recycling and causes early-onset parkinsonism.	Specific disease association not derivable from the gene set or curated description (though DNAJC6/SYNJ1 parkinsonism is real, it is a specific clinical claim beyond scope).
go:GO:0072675	unsupported	DCSTAMP acts as the master fusogenic receptor	DC-STAMP is essential for fusion but its ligand/receptor function and 'master fusogen' status are not established.
go:GO:0072675	unsupported	SBNO2 acting as a transcriptional output of the same differentiation programme	SBNO2's role as transcriptional output/regulator in osteoclast fusion is a specific mechanistic claim not derivable from the given information.
go:GO:0072675	unsupported	excessive fusion accompanies the erosive lesions of osteoporosis, arthritis, and metastatic bone disease	Specific disease associations attributing erosive lesions to excessive fusion are not supported by the gene list or curated description.
go:GO:0072675	unsupported	tetraspanin CD81 organises the fusion-competent membrane microdomains	Plausible tetraspanin role but the specific mechanistic claim in osteoclast fusion is not established/supported here.
go:GO:0090043	unsupported	SGF29	Not a claim in the description; ignore — but note SGF29 is omitted from the listed ATAC/SAGA subunits (omission, not flagged).
go:GO:0090043	unsupported	deacetylase inhibition is exploited therapeutically in cancer and neuropathy	Specific therapeutic claim not derivable from the gene set or curated description.
go:GO:0090043	unsupported	plus the coactivator EP300, supplies acetylation activity	EP300's role here is asserted as supplying tubulin acetylation activity; EP300 is a nuclear/cytoplasmic lysine acetyltransferase but its direct contribution to tubulin acetylation is not established by the set.
go:GO:0090238	unsupported	excessive activation contributes to inflammatory tissue damage and asthma.	Specific disease association (asthma) is not derivable from the gene list or curated description.
go:GO:0090238	wrong	The genes here represent two routes to that outcome: secreted phospholipase A2 activity, which liberates arachidonate from membrane phospholipids and can act extracellularly on neighbouring cells, and receptor-driven stimulation, where G protein-coupled receptors for vasopressin and neurotensin couple calcium and kinase signalling to phospholipase activation.	PLA2R1 is a receptor for secreted phospholipase A2, not an enzyme with phospholipase activity; grouping it under 'secreted phospholipase A2 activity' misassigns its molecular function.
go:GO:0097070	unsupported	in preterm infants, contributes to heart failure and lung injury	Clinical detail not supported by the gene set or curated description.
go:GO:0097070	unsupported	with TFAP2B mutations causing syndromic patent ductus arteriosus	Specific disease association (Char syndrome) not derivable from the gene list or curated text, though it is true in established biology.
go:GO:0097114	unsupported	SHANK3 scaffolds receptors within the postsynaptic density	SHANK3 is a PSD scaffold, but it binds NMDA receptors indirectly via GKAP/PSD-95; direct receptor scaffolding is a loose simplification (arguable).
go:GO:0097114	unsupported	The pathway sits within synapse assembly and plasticity, and disruption of its members is recurrently linked to autism spectrum disorder, schizophrenia and intellectual disability.	Specific disease associations are not derivable from the gene set or curated GO description.
go:GO:0097168	unsupported	Too little expansion limits skeletal growth and wound repair; unchecked expansion contributes to fibrosis and mesenchymal tumours.	Disease/pathology outcomes are not indicated by the gene list or curated description.
go:GO:0098901	unsupported	connexin-40 gap junctions	GJA5 does encode connexin-40, so the naming is correct, but the gene list's only gap junction gene is atrial-restricted; framing is arguable rather than clearly supported for general cell-cell excitation spread.
go:GO:0098901	wrong	and TRPM4 background conductance	TRPM4 is a calcium-activated nonselective cation channel gated by intracellular Ca2+, not a background/leak conductance.
go:GO:0099041	unsupported	Correct tethering keeps cargo recycling between endosomes and the Golgi on track and maintains Golgi architecture and glycosylation capacity.	Effects on glycosylation capacity are not implied by the gene list or curated description of tethering.
go:GO:0099041	wrong	The genes here support capture at the trans-Golgi: the golgin TRIP11 (GMAP-210) projects from Golgi membranes as a long coiled-coil that catches incoming carriers, while TBC1D23 bridges golgins to the FAM91A1-containing complex that recognises endosome-derived vesicles, linking the two membranes indirectly rather than fusing them.	TRIP11/GMAP-210 is a cis-Golgi golgin tethering COPII/ER-derived vesicles, not a trans-Golgi capture factor; only the TBC1D23/FAM91A1/WDR11 module acts at the trans-Golgi.
go:GO:0099563	unsupported	Failure of spine remodelling is a recurring theme in intellectual disability, autism and schizophrenia, and spine loss accompanies neurodegeneration, where SARM1-driven axon degeneration also acts.	Specific disease associations are not derivable from the gene set name, curated definition, or gene list.
go:GO:0099563	unsupported	cortactin and the WAVE complex with CYFIP1 and BAIAP2 nucleate branched actin	BAIAP2/IRSp53 is an I-BAR membrane-deforming adaptor, not a component of the WAVE complex nor an actin nucleator; grouping it as such overstates its role.
go:GO:0140971	unsupported	Imbalance contributes to autoinflammation and interferon-driven disease.	No disease association is provided by the name, curated definition, or gene list.
go:GO:0170043	unsupported	hydroxyproline and hydroxylysine, formed by collagen prolyl and lysyl hydroxylases to stabilise the triple helix	The gene set contains only PLOD1-3 (lysyl hydroxylases); no collagen prolyl hydroxylase (P4HA/P3H) gene is present to support hydroxyproline formation.
go:GO:0170043	wrong	ornithine and citrulline, made by carbamoyl phosphate synthetase and ornithine transcarbamylase as the nitrogen-carrying core of the urea cycle	OTC consumes ornithine to make citrulline; ornithine is produced by arginase (or from glutamate via ALDH18A1/OAT), not by CPS1/OTC.
go:GO:1901334	unsupported	PON1 riding on HDL where it limits lipoprotein oxidation and is linked to atherosclerosis risk	PON1's HDL association is established, but the atherosclerosis-risk disease link is a specific claim not derivable from the gene set or curated description.
go:GO:1901658	wrong	In parallel, purine nucleoside phosphorylase, methylthioadenosine phosphorylase and the uridine phosphorylases release ribose or deoxyribose phosphate from nucleosides, handing the base to adenosine deaminase, guanine deaminase or xanthine dehydrogenase for further catabolism toward urate, while pyrimidine ring opening by dihydropyrimidine dehydrogenase and beta-ureidopropionase completes that branch.	Adenosine deaminase acts on the nucleoside adenosine (and deoxyadenosine), not on a free base released by phosphorolysis; also DPYD reduces the pyrimidine ring rather than opening it (ring opening is done by dihydropyrimidinase).
go:GO:1902042	unsupported	too little produces hepatocyte and immune cell loss	A specific tissue consequence not derivable from the gene list or curated definition; presented as fact without support.
go:GO:1902165	unsupported	cofactor and coactivator input via TAF9 and ZNF385A	ZNF385A (HZF) acts as a p53 target-selectivity cofactor promoting arrest genes, but calling it a coactivator input alongside TAF9 is not established by the listed evidence.
go:GO:1902165	unsupported	direct restraint of mitochondrial permeabilisation by BCL2 and TRIAP1	BCL2 fits, but TRIAP1 acts via inhibiting apoptosome/caspase-9 activation and cardiolipin/phospholipid transfer, not direct restraint of MOMP.
