key	description_generated	description_generated_from	genes_shown	model	prompt_version	status
btm:M105	Granulocyte maturation in the bone marrow, and the antimicrobial cargo that neutrophils acquire as they mature, is the theme here. Promyelocytes and myelocytes load their granules with proteins that will later be deployed against bacteria: a lipopolysaccharide-binding bactericidal protein of the BPI family, the adipokine-like secreted factor resistin, prokineticin 2, the soluble pattern-recognition molecule pentraxin 3, and a haematopoietic growth factor of the CLEC11A type that supports progenitor expansion. Alongside them sit regulators that hold inflammatory signalling in check, including the kinase-dead IRAK family member IRAK3, and transport and lipid-remodelling enzymes such as the organic cation/ergothioneine transporter SLC22A4 and a lysophospholipid acyltransferase. A CDK inhibitor of the INK4 family and a linker histone variant point to the exit from proliferation that accompanies terminal differentiation. Together these define innate myeloid effector capacity, whose loss leaves recurrent bacterial infection.	genes	18	claude-opus-5	v4	current
btm:M106.0	Every molecule that moves between nucleus and cytoplasm passes through the nuclear pore complex, the channel embedded in the nuclear envelope that both permits transport of RNA and proteins and enforces the compartment boundary that makes nuclear regulation possible. The listed nucleoporins fall into recognizable modules: the Y-shaped scaffold ring built from NUP107, NUP133, NUP160, NUP85, SEH1L and NUP37 anchors the structure to the membrane, while phenylalanine-glycine repeat proteins such as NUP62 and NUP54 line the central channel and create the selective permeability barrier. Directional traffic depends on the RAN GTPase gradient, with RANBP1 helping recycle RAN and the exportin XPO1 carrying leucine-rich signal-bearing cargoes out of the nucleus. The complex is disassembled and rebuilt at each mitosis, and mutations in scaffold nucleoporins cause tissue-restricted disease including steroid-resistant nephrotic syndrome.	name+genes	17	claude-opus-5	v4	current
btm:M106.1	During open mitosis the nuclear envelope breaks down and the nuclear pore complex is taken apart, then rebuilt around chromatin as daughter nuclei form. The core structural unit here is the Y-shaped Nup107 inety-160 scaffold inety- NUP107, NUP133, NUP160, NUP85, NUP37, NUP43 and SEH1L inety- which forms the outer rings of the pore and, once pores are disassembled, relocates to kinetochores and spindle poles, where it contributes to microtubule attachment and spindle assembly. The same subcomplex nucleates postmitotic pore reassembly, so its loss produces both chromosome segregation errors and defective nuclear envelope reformation. Also represented are cohesin (SMC1A) holding sister chromatids together, the CDK-activating kinase and transcription factor IIH components CCNH and GTF2H1 that couple cell cycle kinase activity to transcription, and SLBP, which governs replication-dependent histone mRNA supply. This links nucleocytoplasmic transport machinery directly to mitotic progression.	name+genes	11	claude-opus-5	v4	current
btm:M107	HOX genes encode homeodomain transcription factors that assign positional identity along the head-to-tail axis of the embryo, and this grouping draws on members of the HOXA and HOXB clusters spanning anterior paralogues such as HOXA2, HOXA3 and HOXB2 through to more posterior HOXA9, HOXA10 and HOXB9. Their ordered, colinear expression instructs hindbrain segmentation, branchial arch and craniofacial derivatives, vertebral and limb pattern, and the regionalisation of the urogenital tract. The same factors act after development in haematopoietic progenitors, where HOXA9 and HOXA10 sustain self-renewal and proliferation; their inappropriate reactivation, often through mixed-lineage leukaemia fusions, drives acute leukaemia, while loss-of-function mutations produce limb and genital malformations. Activity depends on retinoic acid signalling upstream and on chromatin-level control by Polycomb and trithorax complexes to keep cluster expression appropriately restricted, with cofactors shaping DNA-binding specificity.	name+genes	11	claude-opus-5	v4	current
btm:M108	Intestinal crypt epithelium maintained by Wnt signalling is what these genes describe: a stem and progenitor programme of the colonic crypt base together with markers of the differentiating epithelium above it. It sustains the continuous renewal of the gut lining, and its inappropriate reactivation underlies colorectal adenoma and carcinoma, where the same transcripts serve as tumour markers. Several members are direct Wnt/beta-catenin targets s ASCL2 specifies and reinforces stem cell identity, AXIN2 and RNF43 act as negative feedback on the pathway itself, RNF43 by ubiquitinating Frizzled receptors, and EPHB2 expression follows the crypt-axis gradient that sorts cells to their correct position. CDCA7 links the programme to proliferation, while GPX2, CEACAM5, MUC3B and TSPAN8 reflect mucosal antioxidant defence, mucin production and the apical surface of the absorptive epithelium.</description>	genes	11	claude-opus-5	v4	current
btm:M109	Leukocytes only work if they reach the right tissue, and this grouping covers the receptors and cytoskeletal machinery that read chemoattractant gradients and convert them into directed cell migration. Chemokine receptors such as CCR1, CCR2 and CCR7 guide monocytes into inflamed tissue and route naive T cells and dendritic cells into lymph nodes; the complement receptor C3AR1 adds an innate anaphylatoxin cue, while S1PR1 senses the sphingosine-1-phosphate gradient that licenses lymphocyte egress from lymphoid organs into blood. Downstream, coronin-1A and the HEM1 component of the WAVE regulatory complex control actin remodelling needed for motility and immune synapse formation, and nuclear envelope and transcriptional components including SYNE2, GATA3 and LEF1 tie migration to lineage identity and survival. Loss of these functions produces immunodeficiency with impaired T cell trafficking, and their overuse drives inflammatory tissue infiltration and tumour cell dissemination.</description	name+genes	15	claude-opus-5	v4	current
btm:M11.0	This is a transcriptional signature of monocytes, the circulating phagocytes that patrol blood, sense microbial and tissue-damage signals, and give rise to macrophages and inflammatory dendritic cells. The genes define the cell's identity and its effector toolkit: pattern-recognition receptors including TLR2, TLR4 and NOD2 alongside the inflammasome sensor NLRP3, the LPS co-receptor CD14, scavenger receptors CD36, CD163 and STAB1, and complement and immunoglobulin Fc receptors that drive phagocytosis and opsonic clearance. Signalling runs through TYROBP/FCER1G with Src-family kinases and SYK, while CSF1R and CSF3R read growth factor cues for survival and differentiation, and SPI1, CEBPA, KLF4 and MAFB enforce the myeloid programme. Also present are the NADPH oxidase subunits for respiratory burst, lysosomal proteases, and S100A8/A9 alarmins. Such genes rise in inflammation and sepsis and mark monocyte expansion in blood transcriptome studies.	name+genes	189	claude-opus-5	v4	current
btm:M11.1	Blood coagulation seals vascular injury by converting circulating precursors into a fibrin-platelet plug, and the same machinery restrains bleeding without occluding healthy vessels. Represented here is the cellular side of that response: factor V as a cofactor for thrombin generation, the transglutaminase subunit F13A1 that cross-links fibrin to stabilise the clot, and the platelet and monocyte receptors CD36, PECAM1, ITGAM and P2RX1 that mediate adhesion, activation and calcium entry at a damaged surface. Intracellular transmission runs through the tyrosine kinases LYN and SYK with the immune adaptor FCER1G and the scaffold DOK2, tying haemostasis to myeloid signalling. Fibrinolysis and its control appear as the plasminogen activator receptor PLAUR alongside the serpins SERPINA1 and SERPINB2. Imbalance produces bleeding, thrombosis, or the coagulopathy that accompanies severe inflammation and sepsis.	name+genes	22	claude-opus-5	v4	current
btm:M11.2	Neutrophils find infection by smelling it: bacterial N-formylated peptides and mitochondrial peptides released by damaged tissue bind formyl peptide receptors, and the resulting chemotactic and antimicrobial response is among the fastest arms of innate immunity. Engagement of FPR1 triggers directed migration, degranulation and assembly of the phagocyte NADPH oxidase, whose cytosolic regulatory subunits NCF1 and NCF2 are needed for the respiratory burst that kills ingested organisms; loss of these subunits causes chronic granulomatous disease with recurrent bacterial and fungal infection. Cytoskeletal reorganisation for chemotaxis runs through PAK1, calcium-dependent signalling through CAMK1, and immunoglobulin-mediated phagocytosis through the low-affinity Fc receptor FCGR2A, while SLC11A1 restricts metal availability to microbes inside the phagosome. Inhibitory and accessory receptors of myeloid cells set thresholds so that this destructive output stays proportionate to the stimulus.	name+genes	10	claude-opus-5	v4	current
btm:M110	axon guidance is the process by which a growing axon steers toward its correct target, reading attractive and repulsive cues in the extracellular environment and translating them into directed movement of the growth cone. It builds the wiring diagram of the nervous system, and errors in it produce miswired circuits and defects in commissure formation and nerve pathfinding. Here the cues are semaphorin family ligands acting through neuropilin co-receptors, whose signals converge on cytoskeletal effectors: collapsin response mediator protein family members regulate microtubule assembly, while Rho and Ras small GTPases with focal adhesion kinase and non-muscle myosin II control actin contractility and adhesion turnover at the leading edge. Fibrillar collagens provide the substrate and mechanical context for that migration. The same machinery is reused outside the nervous system for cell migration, vascular patterning, and tumour cell invasion.	name+genes	10	claude-opus-5	v3	superseded
btm:M110	Growing axons find their targets by reading attractive and repulsive cues in the tissue they traverse, and this collection captures the guidance step where extracellular signals are converted into steering of the growth cone. Wiring of the nervous system depends on it, and comparable signalling directs migrating cells and sprouting vessels, so defects produce miswired circuits and disordered migration. A semaphorin ligand and the neuropilin co-receptor supply the directional cue; focal adhesion kinase and Ras- and Rho-family GTPases relay it to adhesion sites and the actomyosin cortex, with non-muscle myosin IIB and the CRMP family protein DPYSL3 acting on cytoskeletal dynamics to turn or collapse the growth cone. Fibrillar collagens here represent the substratum and adhesive environment through which the process occurs, linking guidance to cell-matrix interaction rather than to soluble signalling alone.	name+genes	10	claude-opus-5	v4	current
btm:M111.0	Cells detect viral nucleic acids and convert that detection into an interferon-driven defensive state, and this group represents the sensing arm together with genes controlled by the interferon regulatory factor IRF2. Its outputs matter for clearing viral infection and for setting the threshold at which innate immunity tips into inflammation: TLR7 reads single-stranded RNA in endosomes, ZBP1 senses nucleic acid in the cytosol and can trigger programmed cell death, and RIPK2 relays signals from intracellular bacterial sensors. Downstream effectors include BST2, which tethers budding virions at the plasma membrane, the immunoproteasome subunit PSMB8 and the peptide transporter TAP1, which together supply peptides for MHC class I presentation to cytotoxic T cells, and USP18, which removes ISG15 and restrains interferon signalling. Chemokine and B cell survival factors such as CXCL16 and TNFSF13B link this response to adaptive immunity and to myeloid inflammation.	name+genes	17	claude-opus-5	v4	current
btm:M111.1	Detection of viral nucleic acid inside infected cells and the interferon-driven gene programme that follows are captured here, with IRF2 acting as a transcriptional gatekeeper that tunes how strongly those antiviral genes are expressed. The products do the actual defending: a cytosolic RNA sensor initiates interferon induction, a Z-nucleic acid sensor couples infection to inflammatory and necroptotic death, and CASP1 processes inflammatory cytokines. Downstream effectors restrict virus release from the cell surface, recruit T cells and NK cells via CXCL10, block viral translation, and rebuild the antigen-processing machinery through immunoproteasome subunits and TAP1-dependent peptide loading onto MHC class I. USP18 supplies negative feedback by limiting interferon receptor signalling. Too little of this output leaves cells permissive to infection; unrestrained activity drives interferonopathy and autoimmune tissue damage, with B cell survival factor production linking it to antibody responses.	name+genes	11	claude-opus-5	v4	current
btm:M112.0	complement activation (I) is the humoral arm of innate immunity that marks pathogens and damaged cells for destruction, drives inflammation, and clears immune complexes and debris from the circulation. Loss of it leaves recurrent pyogenic infection and lupus-like autoimmunity; loss of its brakes causes hemolysis and kidney injury, as in atypical hemolytic uremic syndrome and hereditary angioedema. The genes trace the classical route from the C1q recognition subunits through the C1r/C1s proteases and C2 to cleavage of C3, alongside the alternative amplification loop supplied by factor B and factor D. Cleavage fragments engage the C3a and C5a receptors on myeloid cells to recruit and activate leukocytes, while C7 contributes to the lytic terminal complex. Regulators including factor H, factor I, CR1 and C1 inhibitor restrict activation to intended surfaces and protect host tissue.	name+genes	17	claude-opus-5	v3	superseded
btm:M112.0	Complement activation is the humoral arm of innate immunity that marks microbes and debris for destruction and recruits inflammatory cells to the site. The genes here trace the classical route, where the C1q recognition subunits bind antibody-coated or altered surfaces and the C1r/C1s proteases cleave C4 and C2 to build a C3-cleaving enzyme, together with the alternative route sustained by factor B and factor D. Cleavage of C3 opsonises the target for phagocytes bearing CR1, while the released C3a and C5a act through their receptors C3AR1 and C5AR1 to drive chemotaxis, vascular leak and mast cell activation; C7 contributes to the lytic membrane pore. Restraint is built in: C1 inhibitor, factor H and factor I limit activation to intended surfaces, and their loss causes hereditary angioedema, atypical haemolytic uraemic syndrome or macular degeneration, whereas deficiency of early components predisposes to encapsulated bacterial infection and lupus-like autoimmunity.	name+genes	17	claude-opus-5	v4	current
btm:M112.1	Complement activation is the humoral arm of innate immunity that tags microbes and damaged cells for lysis and phagocytic clearance while amplifying inflammation. The genes here span both the triggering proteases and the brakes: C1R and C1S form the catalytic subunits of the C1 complex that initiates the classical route on antibody-coated surfaces, factor B (CFB) drives the alternative amplification loop, and C3 is the shared hub whose cleavage deposits opsonin on target membranes and releases chemotactic fragments. C7 contributes to the membrane attack complex that punches pores in target cells. Regulation is equally represented, with factor H and factor I restraining C3 convertase activity and clusterin inhibiting terminal complex assembly, alongside vitamin K-dependent protein S linking this chemistry to coagulation and apoptotic cell clearance. Loss of such restraint underlies atypical haemolytic uraemic syndrome and age-related macular degeneration, while IL33 ties the response to tissue-damage alarm signalling.	name+genes	10	claude-opus-5	v4	current
btm:M113	golgi membrane (I) groups proteins resident in or trafficking through the Golgi apparatus, where secreted and membrane-bound cargo is glycosylated, lipid-modified and sorted to its destination. This compartment determines the composition of the cell surface and the secretome, so its enzymes set the glycan and sphingolipid identity of a cell and the range of signals it can send. Here the glycosyltransferases build lactosylceramide-derived glycosphingolipids and chondroitin sulfate chains, while sphingomyelin synthase and a lysophospholipid acyltransferase remodel membrane lipids that shape Golgi structure and downstream inflammatory mediators. Other members handle cargo selection and export: sortilin routes proteins to lysosomes and regulates neurotrophin receptor traffic, WLS is the dedicated carrier that loads Wnt ligands for secretion, and PDGFC is itself Golgi-processed growth factor cargo. Defects in such Golgi steps disturb Wnt-dependent patterning, lysosomal delivery and glycolipid balance.	name+genes	10	claude-opus-5	v3	superseded
btm:M113	Proteins gathered here share residence in the Golgi membrane, the sorting and finishing station where newly made proteins and lipids are glycosylated, modified and dispatched to their destinations. The set spans the main jobs done at that membrane: glycan elaboration by B3GNT5, which extends lacto/neolacto glycolipid chains, and CSGALNACT1, which initiates chondroitin sulfate chains on proteoglycan core proteins; lipid remodelling and headgroup transfer by LPCAT2 and by SGMS2, which synthesises sphingomyelin; cargo sorting by the receptor SORT1; and dedicated secretion machinery such as WLS, the carrier that loads lipid-modified Wnt ligands for release. Also present are secretory clients and membrane proteins in transit, including the growth factor PDGFC and the endosomal nucleic-acid sensor TLR8. Together they illustrate how Golgi membrane composition determines extracellular matrix quality, membrane lipid identity and the reach of secreted signals.	name+genes	10	claude-opus-5	v4	current
btm:M114.0	This grouping describes the transcriptional programme of immature myeloid progenitors in the bone marrow, the stage at which granulocyte, mast cell and erythroid potential is still being resolved and primary granule proteins are first made. Its hallmark products are the azurophilic granule enzymes myeloperoxidase and neutrophil elastase, together with the mast cell protease carboxypeptidase A3 and the promyelocyte membrane marker MS4A3, so the signature marks promyelocytes and their close relatives rather than mature blood cells. Lineage transcription factors TAL1 and NFE2 act alongside proliferative drive from CDK6 and niche cues such as JAG1, PDGFC and the stem cell growth factor CLEC11A, while SLC40A1 exports iron for haem synthesis. Loss or distortion of this programme underlies congenital neutropenias and is the state in which acute myeloid leukaemia blasts are arrested.	genes	39	claude-opus-5	v4	current
btm:M114.1	Glycerophospholipids are the backbone of every cellular membrane, and their metabolism sets membrane fluidity, curvature and the supply of lipid second messengers. The core activity here is the cycle of deacylation and reacylation that remodels phospholipid acyl chains: a cytosolic phospholipase A2 releases arachidonic acid from the sn-2 position, generating the precursor for prostaglandins and leukotrienes as well as a lysophospholipid, while lysophospholipid acyltransferases such as LPCAT2 and MBOAT2 re-esterify fatty acids to restore the diacyl species. An acylglycerophosphate acyltransferase contributes to de novo synthesis from lysophosphatidic acid, and an oxysterol-binding protein family member links this chemistry to lipid transfer between organelle membranes. Through the eicosanoid arm the pathway feeds inflammation and platelet-activating factor production, so its regulation matters for immune signalling as much as for membrane biogenesis.	name+genes	11	claude-opus-5	v4	current
btm:M115	This grouping of secreted immune mediators and their receptor chains describes how leukocytes talk to one another to set the size, type and duration of an immune response. Colony-stimulating factors CSF2 and CSF3 drive granulocyte and macrophage production from marrow progenitors; IL7R signalling sustains T and B lymphocyte development and naive T cell survival; IL15 presented in trans by IL15RA supports natural killer and memory CD8 T cells; IL2RA marks activated and regulatory T cells as the high-affinity IL-2 receptor subunit. IFNG and the IL23A subunit of IL-23 push type 1 and Th17 inflammatory programmes, IL6 and LIF act through the shared gp130 chain on acute-phase and stromal responses, and IL10 restrains all of this. Most signal via JAK-STAT to reprogram transcription, and imbalance among them underlies autoimmunity, chronic inflammation and immunodeficiency.</description>}	name+genes	11	claude-opus-5	v4	current
btm:M116	These genes outline a mesenchymal, mechanoresponsive fibroblast programme in which YAP and its paralogue TAZ (WWTR1) convert cytoskeletal tension and matrix stiffness into transcription of matricellular and adhesion genes. CYR61 is a canonical YAP/TAZ target, and alongside collagen III, follistatin-like 1, caveolin-1 and VCAM1 it marks cells that build and remodel connective tissue and support leukocyte and progenitor traffic. Growth factor and cytokine receptors such as PDGFRA and OSMR, together with the chemokine CXCL12, define the stromal niche signals these cells emit and receive, while ERRFI1 restrains EGF receptor output and EPS8 couples receptor signalling to actin. The same circuitry drives wound repair and alveolar and vascular stromal maintenance, and its persistent activation underlies fibrosis and the stiff, invasion-permissive stroma of tumours.	genes	13	claude-opus-5	v4	current
btm:M117	Cells must stick to surfaces, to matrix and to each other, and this cell adhesion programme captures that biology as it is used by leukocytes, where adhesion is the prerequisite for migration, antigen recognition and cell-cell communication rather than for tissue architecture alone. Most members are T cell and immune-cell molecules: CD6, CD96 and LY9 mediate contacts with antigen-presenting cells and target cells, SELPLG engages selectins for rolling on activated endothelium, and PTPRC (CD45) and the kinases ZAP70 and PRKCQ convert receptor engagement at the contact site into activation. Cytoskeletal and scaffolding components such as CORO1A and PSTPIP1 couple adhesion receptors to actin, allowing stable synapse formation and polarised movement, while CD40LG and CXCR3 tie adhesive contact to helper function and tissue homing. Loss of these functions produces immunodeficiency, defective lymphocyte trafficking, or autoinflammatory disease.	name+genes	21	claude-opus-5	v4	current
btm:M118.0	enriched in monocytes (IV) is a transcriptional signature of blood monocytes and the macrophage lineage they feed, marking the myeloid cells that patrol tissue for microbes and damage, present antigen, and clear debris. Its members define what a monocyte is functionally: pattern-recognition receptors and their accessory proteins (TLR1, LY96, CARD9, LGALS3) that sense bacterial and fungal ligands; lysosomal and degradative enzymes such as CTSS, LYZ and RNASE6 that support phagocytosis; adhesion and chemotaxis machinery including CXCR2, DOCK5, MYO1F and PAK1 for migration into inflamed tissue; and inflammatory effectors and cytokine receptors such as PTGS2, PTX3, IL1R2, TNFRSF1B and TNFSF13B that shape the local response and B cell survival. Lineage transcription factors including HHEX and BCL6, together with CD4, CD68 and EMR1 surface markers, place the programme downstream of myeloid commitment. Expression of these genes rises in sepsis and chronic inflammation and falls with monocyte depletion.	name+genes	57	claude-opus-5	v3	superseded
btm:M118.0	A blood transcriptional module whose expression marks monocytes and closely related myeloid cells, useful as a readout of monocyte abundance and activation state in whole-blood profiling of infection, inflammation and autoimmunity. The genes describe what these cells do: pattern recognition and innate sensing through TLR1, LY96 and the CARD9 adaptor, phagocytosis and lysosomal degradation via CD68, CTSS, LYZ and RNASE6, antigen presentation components such as HLA-DMB, and receptors for cytokines and chemoattractants including TNFRSF1B, IL1R2, LTBR and CXCR2 that position the cell in inflamed tissue. Prostaglandin synthesis by PTGS2, the acute-phase pattern-recognition molecule PTX3, and lipid-handling enzymes such as ACSL1 reflect the secretory and metabolic reprogramming that follows activation, while BCL6 and HHEX contribute transcriptional control of myeloid differentiation. Together these define the circulating precursors of macrophages and inflammatory dendritic cells.	name+genes	57	claude-opus-5	v4	current
btm:M118.1	enriched in monocytes (surface) describes the plasma-membrane protein signature that distinguishes blood monocytes from other leukocytes, providing the receptors through which these cells sense infection, migrate into tissue, and mature into macrophages and dendritic cells. Its members are the handles used to identify and sort monocyte populations and to gauge inflammatory state in disease. The set is dominated by innate immune receptors and adhesion molecules: CD4 and the adhesion GPCR EMR1 mark the lineage, TNFRSF1B and LTBR transduce tumour necrosis factor family signals, IL1R2 acts as a decoy that damps interleukin-1 responses, and TNFSF13B (BAFF) is released to support B cell survival. Alongside these sit MHC class II accessory machinery for antigen presentation, an ITAM-coupled activating receptor, and lactate and sphingosine-1-phosphate transport proteins that link glycolytic metabolism and chemotactic egress to monocyte effector function.	name+genes	17	claude-opus-5	v3	superseded
btm:M118.1	This is a monocyte-enriched surface signature: a group of membrane proteins whose expression marks circulating monocytes and their macrophage progeny rather than lymphocytes or granulocytes. Such markers underpin the identification and sorting of monocyte subsets and define how these cells sense inflammation, migrate into tissue, and present antigen. The collection spans innate immune receptors and receptor modifiers, including a decoy interleukin-1 receptor that dampens IL-1 signalling, TNF receptor family members that transduce TNF and lymphotoxin cues, a source of the B cell survival factor BAFF, an MHC class II-associated chaperone subunit, and CD4 itself, which monocytes express at lower levels than T cells. Transporters and a sphingosine-1-phosphate receptor add metabolic and trafficking capacity, linking the profile to glycolytic support of activation and to recruitment during infection, atherosclerosis, and chronic inflammation.	name+genes	17	claude-opus-5	v4	current
